param n := 100
;

param delta := 1.5
;

param coordX [*] :=
0   76
1   71
2   59
3   88
4   65
5   32
6   98
7   61
8   26
9   13
10  68
11  29
12  18
13  48
14  99
15  96
16  60
17   1
18  57
19  50
20  64
21  92
22  63
23   8
24  80
25  99
26  72
27  49
28  42
29  74
30  34
31  93
32  67
33  53
34  97
35  17
36  73
37  80
38  53
39  98
40  76
41  67
42  15
43  81
44  44
45  46
46  13
47  20
48  22
49  29
50  36
51  32
52  75
53  57
54  54
55  29
56  11
57  48
58  19
59  77
60  16
61  29
62  20
63   5
64  12
65  12
66  40
67  82
68  79
69  87
70  90
71  50
72  44
73   0
74  41
75  35
76  84
77  78
78   9
79   1
80  91
81  24
82  94
83  77
84  43
85  87
86  46
87  75
88   9
89  27
90   8
91  56
92  63
93  12
94  39
95  52
96   2
97  60
98  66
99  44
100  73
;

param coordY [*] :=
0   47
1   48
2   11
3   78
4   64
5   32
6   15
7   63
8    3
9   32
10   3
11   1
12  84
13  40
14  66
15  52
16  94
17   5
18  69
19  36
20   0
21  91
22  82
23  29
24  52
25  19
26  58
27  67
28  19
29  79
30  32
31  22
32  43
33  64
34  59
35  47
36  52
37  13
38  84
39   5
40  38
41  98
42  59
43  88
44  46
45  72
46  13
47  52
48  23
49  99
50  98
51   9
52  46
53  26
54  15
55  31
56  66
57  89
58  20
59  39
60  29
61  48
62  16
63  34
64  61
65  25
66  69
67  88
68  40
69  27
70  46
71  55
72  39
73  15
74  94
75  89
76  96
77  27
78  60
79  31
80  94
81  34
82  29
83  10
84   6
85  87
86  94
87   7
88  75
89  27
90  12
91  49
92  82
93   4
94  25
95  12
96  97
97  36
98  38
99  54
100  10
;
