param n := 200
;

param delta := 1.5
;

param coordX [*] :=
  0 18322    34 13654    68  9644   102  1931   136 22646   170  2820
  1 13077    35 15259    69  6349   103 21232   137 11923   171   652
  2 15693    36 18614    70  7630   104 13366   138 19360   172  7966
  3  5907    37  1588    71 20616   105  6975   139 19077   173 12353
  4  2978    38  3867    72  9233   106 19479   140 15548   174  7810
  5  4854    39 19624    73   471   107 13975   141  5876   175  3129
  6 14705    40  5854    74 11898   108 19465   142  9645   176  5166
  7 17707    41 10304    75 23375   109 19029   143 13070   177 23753
  8  4898    42  8237    76 18645   110 20151   144 13603   178  6019
  9  7027    43  7567    77 22810   111 15084   145 20016   179 15177
 10  1330    44  5667    78  2863   112  1668   146  1442   180 16857
 11 16449    45  1891    79 21928   113  3947   147 10593   181  7889
 12 20075    46   550    80  8904   114 21954   148  3627   182   764
 13 17042    47 18635    81 16162   115  3268   149  3731   183 23089
 14 23287    48 10914    82 12714   116  1209   150 10046   184  5253
 15 13012    49 21953    83  4075   117 10394   151 17764   185 16283
 16 11182    50  4531    84  8548   118 23306   152 16376   186  1489
 17  6140    51  8875    85  2041   119 14709   153   935   187 18922
 18 19296    52 22761    86 10164   120  8217   154 11811   188 11426
 19 14613    53 19751    87  5333   121  3250   155 12462   189 21405
 20 16088    54 19323    88 19138   122  6153   156 20844   190 22504
 21  6878    55  9603    89 14955   123 13375   157 19022   191 21399
 22  8884    56 16827    90 10270   124 11849   158 22595   192  6319
 23 12119    57 21069    91 14749   125 17446   159  8927   193 20080
 24  5363    58 22254    92  2085   126  7815   160 17152   194  8650
 25  8408    59 20750    93  6305   127  2897   161 17981   195 19471
 26  8217    60 22818    94 12985   128 10786   162 12067   196  7145
 27  2882    61 22939    95 14737   129  2201   163 21657   197  6803
 28 15324    62 15409    96 15030   130 18408   164  7870   198  6105
 29 23471    63 22131    97 17872   131 19069   165 22582   199 23399
 30 21493    64  2687    98 14842   132 18289   166 10898   200 14235
 31  7212    65 23044    99  7727   133 17901   167 13453
 32  6261    66 12681   100 12382   134 12359   168 16566
 33   354    67 17780   101 15866   135  3148   169 16775
;

param coordY [*] :=
  0  6105    34  3166    68  4405   102  9402   136 14255   170 13182
  1  2139    35 14676    69 13433   103   218   137 21431   171 23306
  2 16629    36 19930    70 10121   104  4920   138  3642   172 17461
  3 21091    37  6239    71     8   105 14464   139 10189   173  7608
  4 21445    38  4365    72 13920   106   909   140 20591   174 18812
  5 23125    39  3830    73  8312   107 17640   141  9391   175 19312
  6  8572    40 17199    74  2953   108  4917   142  7866   176 14242
  7 16329    41  1097    75 23354   109  6634   143  4017   177  2963
  8 12145    42  1327    76 10219   110  9487   144 10025   178 18322
  9  4509    43  1772    77 22314   111 21290   145 16807   179 17479
 10   342    44 17604    78  7277   112  2560   146  8364   180  5678
 11 21350    45 21823    79  9996   113 18864   147  7661   181 22586
 12   842    46 16080    80 10291   114 16835   148 12084   182  6090
 13 22816    47 20948    81 18688   115 14160   149 10325   183 19608
 14  9233    48 17930    82  9815   116 15925   150    90   184  1324
 15 16426    49 17862    83 15961   117  1743   151 19312   185 15895
 16  9864    50  4342    84  3098   118 22517   152  7344   186 21100
 17 16351    51 20917    85 15687   119 18786   153 17666   187 19628
 18 23113    52 10816    86  4786   120 22983   154  6883   188 16517
 19 18663    53  9265    87  2822   121  6259   155  1982   189  5349
 20 19431    54  9044    88  8444   122 13621   156 17776   190 20189
 21   489    55 15604    89 22283   123  5923   157 21471   191  5758
 22 10755    56 20311    90  8701   124  9638   158  4622   192 16134
 23 18810    57 15049    91 13099   125 10898   159  1322   193 17372
 24  6390    58 14007    92  4665   126  1764   160  8972   194  5274
 25 12967    59 16096    93   660   127 11831   161 21391   195   422
 26  6844    60 14741    94 20626   128 10927   162 12175   196 19360
 27  5720    61 10169    95 14126   129 11379   163 19344   197 14366
 28 22710    62 13232    96  6661   130 12255   164 16196   198 11944
 29 10058    63 18453    97 14904   131  3995   165  8654   199 12746
 30 15292    64 16646    98   572   132 20800   166  6556   200  9969
 31  2413    65 18931    99  5389   133  6977   167 10672
 32 11329    66  4023   100 17437   134 17080   168 22598
 33 18807    67  2382   101 13993   135 10402   169  2468
;
