param n := 80
;

param delta := 1.5
;

param coordX [*] :=
 0  820   11  351   22 2674   33 2099   44  470   55 1915   66 2576   77 1418
 1 1282   12 1893   23 2181   34 3068   45 1723   56 2134   67 1955   78   33
 2 1702   13 3334   24 1685   35 2137   46 3149   57 2862   68 1600   79 1914
 3 2503   14 3363   25 2228   36  996   47 1878   58  204   69  712   80    2
 4  628   15  310   26 2954   37 3195   48  711   59 1346   70 1394
 5  519   16 2773   27 3234   38 2465   49 2307   60 2531   71 1044
 6 2959   17  108   28  557   39 1518   50  609   61  994   72  455
 7 2432   18 1619   29 1869   40 1333   51 1568   62 1293   73   63
 8  129   19    2   30  429   41  783   52  298   63 3152   74 2591
 9 1263   20 1459   31 1072   42 3609   53 1703   64 3493   75 2907
10 1702   21 3262   32 1224   43 1441   54 2703   65 1675   76 2527
;

param coordY [*] :=
 0  268   11 1177   22 2771   33  286   44 1847   55  759   66 2694   77 1800
 1  505   12  567   23 2407   34  242   45 2882   56 2560   67  439   78 1288
 2 1544   13 3053   24 1998   35  930   46 1399   57 1634   68 1491   79 1171
 3 2754   14 2677   25 1598   36  773   47 2290   58  877   69 2598   80 2245
 4 2745   15 2684   26  912   37 1400   48 2142   59 2876   70  368
 5 3482   16 1088   27  326   38  199   49 3083   60 3057   71 2972
 6 2075   17 3369   28 2848   39  838   50 2524   61 2376   72 2634
 7 1001   18 3570   29 1187   40 1874   51  756   62 3522   73 2137
 8  135   19 3591   30 1756   41 2549   52  699   63 2097   74 3401
 9 3288   20  499   31 3589   42  126   53 1524   64 2747   75  105
10 1534   21  321   32  400   43 2103   54  833   65 2608   76 1042
;
