param n := 50
;

param delta := 1.5
;

param coordX [*] :=
0   83
1   58
2   100
3   27
4   87
5   23
6   31
7   33
8   64
9   11
10  97
11  76
12  78
13  14
14  51
15  92
16  99
17  43
18  87
19  68
20  23
21  90
22  89
23  73
24  15
25  79
26  95
27  54
28   3
29  43
30  94
31  45
32  63
33  98
34  79
35  83
36   3
37  18
38  48
39  76
40  81
41  56
42  41
43   6
44  74
45  78
46  23
47  19
48  99
49   6
50  25
;

param coordY [*] :=
0   21
1   72
2   27
3   20
4   83
5   20
6   75
7   63
8   53
9   20
10   7
11  35
12  27
13   0
14  63
15  89
16  86
17  64
18  32
19  98
20  99
21  36
22   6
23  81
24  63
25   7
26  16
27  22
28  51
29  28
30  40
31  83
32  82
33  71
34  27
35  81
36  31
37  86
38  24
39  36
40  16
41   6
42  62
43  69
44  97
45  99
46  81
47   7
48  92
49  65
50  52
;
