param n := 100
;

param alpha := 1.54
;

param coordX [*] :=
  0 4944    15 3154    30 2132    45 6230    60  465    75 5085    90 6671
  1 6995    16 4434    31 4974    46 7631    61 4877    76 2215    91 6965
  2 3731    17  250    32  294    47 5666    62 7033    77 6033    92 1060
  3 4514    18 4149    33 4594    48 7621    63 4575    78 3849    93 6709
  4 5066    19 4192    34 1531    49 1545    64 6492    79 5220    94  774
  5 7629    20  970    35 4894    50  486    65 1772    80 1722    95 6040
  6 1268    21 1010    36  484    51 3955    66 7143    81 7796    96 5233
  7  801    22 1506    37  301    52 4617    67  545    82 4037    97  903
  8 1283    23 1841    38 1126    53 6176    68 4248    83 7851    98 4329
  9  965    24 1702    39 6892    54 3044    69 5073    84  292    99 2125
 10 7108    25 4676    40 4419    55 3507    70 2764    85 6534   100 3987
 11 1759    26 7924    41  740    56 2026    71 5266    86 6087
 12 4093    27 6503    42 5940    57 2185    72 7563    87 3741
 13  775    28 1689    43 2139    58 6555    73 3707    88 7727
 14 6953    29 6574    44 5664    59 2193    74 1108    89 4332
;

param coordY [*] :=
  0 5514    15  601    30 4514    45 6009    60  272    75 7148    90 5146
  1 2996    16 5146    31 3437    46 3630    61 5740    76 2936    91 3212
  2 6966    17 5631    32 7810    47 4958    62 7427    77 1351    92 2707
  3 2961    18  153    33  851    48 4559    63 5380    78 3566    93 6490
  4   21    19 3928    34 1614    49 4079    64 5098    79 1268    94 4301
  5 6133    20 1586    35 7503    50 3646    65 7633    80 5492    95 7357
  6  796    21 4572    36 6438    51 3843    66 2859    81 4041    96  642
  7 2449    22 5440    37 2639    52 1148    67  955    82 2363    97 2093
  8 7051    23 3173    38 2502    53 1679    68 6890    83 5339    98 7436
  9 5662    24 6508    39  951    54  941    69 7685    84    6    99 3494
 10 7977    25 3150    40  745    55 3814    70 7676    85 1529   100 7220
 11 3014    26 6451    41 3861    56 5040    71 3321    86 6866
 12 2711    27 4581    42    3    57 1929    72 5074    87 6539
 13  393    28  188    43 6068    58 1626    73 6213    88 5757
 14  885    29 5537    44 5324    59  422    74 2762    89 5198
;
